entry_id,title_normalized,title_display,media_type,franchise,season_set,part_volume,disc_start,disc_end,disc_count,storage_type,container_name,slot_start,slot_end,location_detail,format,label_raw,title_match_status,tmdb_id,tmdb_media_type,poster_path,release_year,match_confidence,notes,,
C-017-022,fringe,Fringe,tv,Fringe,2,,1,6,6,discgear,Container C,17,22,,disc,"Fringe #2, D-1 through D-6",unmatched,,,,,,Grouped contiguous season set,,
C-011-016,fringe,Fringe,tv,Fringe,3,,1,6,6,discgear,Container C,11,16,,disc,"Fringe #3, D-1 through D-6",unmatched,,,,,,Grouped contiguous season set,,
C-005-010,fringe,Fringe,tv,Fringe,4,,1,6,6,discgear,Container C,5,10,,disc,"Fringe #4, D-1 through D-6",unmatched,,,,,,Grouped contiguous season set,,
C-001-004,fringe,Fringe,tv,Fringe,5,,1,4,4,discgear,Container C,1,4,,disc,"Fringe #5, D-1 through D-4",unmatched,,,,,,Grouped contiguous season set,,
C-098-098,resident_evil_degeneration,Resident Evil: Degeneration,movie,Resident Evil,,,1,1,1,discgear,Container C,98,98,,disc,Resident Evil: Degeneration,unmatched,,,,,,Single-title entry,,
C-099-099,my_blueberry_nights,My Blueberry Nights,movie,,,,1,1,1,discgear,Container C,99,99,,disc,My Blueberry Nights,unmatched,,,,,,Single-title entry,,
C-096-096,babylon_5_the_lost_tales,Babylon 5: The Lost Tales,movie,Babylon 5,,,1,1,1,discgear,Container C,96,96,,disc,Babylon 5: The Lost Tales,unmatched,,,,,,Single-title special,,
C-097-097,babylon_5_rangers,Babylon 5: The Legend of the Rangers,movie,Babylon 5,,,1,1,1,discgear,Container C,97,97,,disc,Babylon 5: Rangers,unmatched,,,,,,Normalized full title,,
C-100-100,babylon_5_the_gathering,Babylon 5: The Gathering,movie,Babylon 5,,,1,1,1,discgear,Container C,100,100,,disc,Babylon 5: The Gathering,unmatched,,,,,,Single-title special,,
B-001-001,ghost_town,Ghost Town,movie,,,,1,1,1,discgear,Container B,1,1,,disc,Ghost Town,unmatched,,,,,,Single-title entry,,
B-002-002,push,Push,movie,,,,1,1,1,discgear,Container B,2,2,,disc,Push,unmatched,,,,,,Single-title entry,,
B-003-003,horton_hears_a_who,Horton Hears a Who!,movie,,,,1,1,1,discgear,Container B,3,3,,disc,Horton Hears a Who,unmatched,,,,,,Single-title entry,,
B-004-004,the_game_plan,The Game Plan,movie,,,,1,1,1,discgear,Container B,4,4,,disc,"Game Plan, The",unmatched,,,,,,Single-title entry,,
B-005-005,monster_house,Monster House,movie,,,,1,1,1,discgear,Container B,5,5,,disc,Monster House,unmatched,,,,,,Single-title entry,,
B-006-006,youve_got_mail,You've Got Mail,movie,,,,1,1,1,discgear,Container B,6,6,,disc,You've Got Mail,unmatched,,,,,,Single-title entry,,
B-007-007,young_guns,Young Guns,movie,,,,1,1,1,discgear,Container B,7,7,,disc,Young Guns,unmatched,,,,,,Single-title entry,,
B-008-008,young_guns_2,Young Guns II,movie,Young Guns,,,1,1,1,discgear,Container B,8,8,,disc,Young Guns 2,unmatched,,,,,,Single-title sequel,,
B-009-009,world_trade_center,World Trade Center,movie,,,,1,1,1,discgear,Container B,9,9,,disc,World Trade Center,unmatched,,,,,,Single-title entry,,
B-010-010,wimbledon,Wimbledon,movie,,,,1,1,1,discgear,Container B,10,10,,disc,Wimbledon,unmatched,,,,,,Single-title entry,,
B-011-011,what_dreams_may_come,What Dreams May Come,movie,,,,1,1,1,discgear,Container B,11,11,,disc,What Dreams May Come,unmatched,,,,,,Single-title entry,,
B-012-012,we_are_marshall,We Are Marshall,movie,,,,1,1,1,discgear,Container B,12,12,,disc,We Are Marshall,unmatched,,,,,,Single-title entry,,
B-013-013,the_water_horse,The Water Horse,movie,,,,1,1,1,discgear,Container B,13,13,,disc,Water Horse,unmatched,,,,,,Likely The Water Horse: Legend of the Deep,,
B-014-014,tristan_and_isolde,Tristan & Isolde,movie,,,,1,1,1,discgear,Container B,14,14,,disc,Tristan and Isolde,unmatched,,,,,,Single-title entry,,
B-015-015,the_truman_show,The Truman Show,movie,,,,1,1,1,discgear,Container B,15,15,,disc,Truman Show,unmatched,,,,,,Single-title entry,,
B-016-016,top_gun,Top Gun,movie,,,,1,1,1,discgear,Container B,16,16,,disc,Top Gun,unmatched,,,,,,Single-title entry,,
B-017-017,tmnt,TMNT,movie,Teenage Mutant Ninja Turtles,,,1,1,1,discgear,Container B,17,17,,disc,TMNT,unmatched,,,,,,Single-title entry,,
B-018-018,timeline,Timeline,movie,,,,1,1,1,discgear,Container B,18,18,,disc,Timeline,unmatched,,,,,,Single-title entry,,
B-019-019,the_time_machine,The Time Machine,movie,,,,1,1,1,discgear,Container B,19,19,,disc,"Time Machine, The",unmatched,,,,,,Single-title entry,,
B-020-020,storm_of_the_century,Storm of the Century,tv,,,,1,1,1,discgear,Container B,20,20,,disc,Storm of the Century,unmatched,,,,,high,TV miniseries,,
B-021-021,stardust,Stardust,movie,,,,1,1,1,discgear,Container B,21,21,,disc,Stardust,unmatched,,,,,,Single-title entry,,
B-022-022,spider_man_2_1,Spider-Man 2.1,movie,Spider-Man,2.1,,1,1,1,discgear,Container B,22,22,,disc,Spiderman 2.1,unmatched,,,,,,Version-specific release,,
B-023-023,spider_man_3,Spider-Man 3,movie,Spider-Man,3,,1,1,1,discgear,Container B,23,23,,disc,Spiderman 3,unmatched,,,,,,Single-title sequel,,
B-024-024,sideways,Sideways,movie,,,,1,1,1,discgear,Container B,24,24,,disc,Sideways,unmatched,,,,,,Single-title entry,,
B-025-025,shakespeare_in_love,Shakespeare in Love,movie,,,,1,1,1,discgear,Container B,25,25,,disc,Shakespear in Love,unmatched,,,,,,Single-title entry,,
B-026-026,robin_hood_prince_of_thieves,Robin Hood: Prince of Thieves,movie,Robin Hood,,,1,1,1,discgear,Container B,26,26,,disc,Robin Hood: Prince of Thieves,unmatched,,,,,,Kevin Costner version,,
B-027-027,first_blood,First Blood,movie,Rambo,1,,1,1,1,discgear,Container B,27,27,,disc,Ramo: First Lood,unmatched,,,,,,Normalized from OCR,,
B-028-028,rambo_first_blood_part_ii,Rambo: First Blood Part II,movie,Rambo,2,,1,1,1,discgear,Container B,28,28,,disc,Ramo 2,unmatched,,,,,,Normalized from OCR,,
B-029-029,rambo_iii,Rambo III,movie,Rambo,3,,1,1,1,discgear,Container B,29,29,,disc,Ramo 3,unmatched,,,,,,Single-title sequel,,
B-030-030,rambo,Rambo,movie,Rambo,4,,1,1,1,discgear,Container B,30,30,,disc,Ramo,unmatched,,,,,,Likely 2008 film,,
B-031-031,predator,Predator,movie,,,,1,1,1,discgear,Container B,31,31,,disc,Predator,unmatched,,,,,,Single-title entry,,
B-032-032,planet_of_the_apes_2001,Planet of the Apes,movie,Planet of the Apes,,,1,1,1,discgear,Container B,32,32,,disc,Planet of the Apes,unmatched,,,,,high,2001 Mark Wahlberg remake,,
B-033-033,pirates_of_the_caribbean_at_worlds_end,Pirates of the Caribbean: At World's End,movie,Pirates of the Caribbean,3,,1,1,1,discgear,Container B,33,33,,disc,Piratets of the Carriean 3,unmatched,,,,,,Normalized title,,
B-034-034,pathfinder,Pathfinder,movie,,,,1,1,1,discgear,Container B,34,34,,disc,Pathfinder,unmatched,,,,,,Single-title entry,,
B-035-035,poltergeist,Poltergeist,movie,,,,1,1,1,discgear,Container B,35,35,,disc,Poltergeist,unmatched,,,,,,Single-title entry,,
B-036-036,notting_hill,Notting Hill,movie,,,,1,1,1,discgear,Container B,36,36,,disc,Notting HILL,unmatched,,,,,,Single-title entry,,
B-037-037,national_treasure_book_of_secrets,National Treasure: Book of Secrets,movie,National Treasure,2,,1,1,1,discgear,Container B,37,37,,disc,National Treasure 2,unmatched,,,,,,Single-title sequel,,
B-038-038,nacho_libre,Nacho Libre,movie,,,,1,1,1,discgear,Container B,38,38,,disc,Nacho Lire,unmatched,,,,,,Single-title entry,,
B-039-039,the_musketeer,The Musketeer,movie,,,,1,1,1,discgear,Container B,39,39,,disc,Musketeer,unmatched,,,,,,Likely The Musketeer,,
B-040-040,the_monster_squad,The Monster Squad,movie,,,,1,1,1,discgear,Container B,40,40,,disc,Monster Squad,unmatched,,,,,,Single-title entry,,
B-041-041,match_point,Match Point,movie,,,,1,1,1,discgear,Container B,41,41,,disc,Match Point,unmatched,,,,,,Single-title entry,,
B-042-042,look_whos_talking,Look Who's Talking,movie,,,,1,1,1,discgear,Container B,42,42,,disc,Look Who's Talking,unmatched,,,,,,Single-title entry,,
B-043-043,beowulf_2007,Beowulf,movie,,,,1,1,1,discgear,Container B,43,43,,disc,Beowulf,unmatched,,,,,high,2007 animated film,,
B-044-046,alien_collection,Alien Collection,movie,Alien,,,1,3,3,discgear,Container B,44,46,,disc,Alien / Aliens / Alien 3,matched,,,,,high,Grouped franchise run across slots 44-46; films are Alien,Aliens,Alien 3
B-048-048A,the_addams_family,The Addams Family,movie,Addams Family,,,1,1,1,discgear,Container B,48,48,,disc,Addams Family / Addams Family Values,matched,,,,,high,Combo disc; shares physical slot with Addams Family Values,,
B-048-048B,addams_family_values,Addams Family Values,movie,Addams Family,,,1,1,1,discgear,Container B,48,48,,disc,Addams Family / Addams Family Values,matched,,,,,high,Combo disc; shares physical slot with The Addams Family,,
B-049-049,a_few_good_men,A Few Good Men,movie,,,,1,1,1,discgear,Container B,49,49,,disc,A Few Good Men,unmatched,,,,,,Single-title entry,,
B-050-050,a_walk_to_remember,A Walk to Remember,movie,,,,1,1,1,discgear,Container B,50,50,,disc,A Walk to Rememer,unmatched,,,,,,Single-title entry,,
B-051-051,the_aviator,The Aviator,movie,,,,1,1,1,discgear,Container B,51,51,,disc,"Aviator, The",unmatched,,,,,,Single-title entry,,
B-052-052,august_rush,August Rush,movie,,,,1,1,1,discgear,Container B,52,52,,disc,August Rush,unmatched,,,,,,Single-title entry,,
B-053-053,armageddon,Armageddon,movie,,,,1,1,1,discgear,Container B,53,53,,disc,Armageddon,unmatched,,,,,,Single-title entry,,
B-054-054,american_psycho,American Psycho,movie,,,,1,1,1,discgear,Container B,54,54,,disc,American Psycho,unmatched,,,,,,Single-title entry,,
B-055-055,the_american_president,The American President,movie,,,,1,1,1,discgear,Container B,55,55,,disc,"American President, The",unmatched,,,,,,Single-title entry,,
B-056-056,the_lodger,The Lodger,movie,,,,1,1,1,discgear,Container B,56,56,,disc,"Lodger, The",unmatched,,,,,,May need exact version confirmation,,
B-057-057,wolf,Wolf,movie,,,,1,1,1,discgear,Container B,57,57,,disc,Wolf,unmatched,,,,,,Single-title entry,,
B-058-058,richard_iii,Richard III,movie,,,,1,1,1,discgear,Container B,58,58,,disc,Richard III,unmatched,,,,,,Single-title entry,,
B-059-059,fur,Fur,movie,,,,1,1,1,discgear,Container B,59,59,,disc,Fur,unmatched,,,,,,May need exact subtitle/year later,,
B-060-060,the_reading_room,The Reading Room,movie,,,,1,1,1,discgear,Container B,60,60,,disc,"Reading Room, The",unmatched,,,,,,Single-title entry,,
B-061-061,evolution,Evolution,movie,,,,1,1,1,discgear,Container B,61,61,,disc,Evolution,unmatched,,,,,,Single-title entry,,
B-062-062,the_incredible_hulk,The Incredible Hulk,movie,Marvel,,,1,1,1,discgear,Container B,62,62,,disc,"Incredible Hulk, The",unmatched,,,,,,Single-title entry,,
B-063-063,my_sassy_girl,My Sassy Girl,movie,,,,1,1,1,discgear,Container B,63,63,,disc,My Sassy Girl,unmatched,,,,,,Version/year later if needed,,
B-064-064,office_space,Office Space,movie,,,,1,1,1,discgear,Container B,64,64,,disc,Office Space,unmatched,,,,,,Single-title entry,,
B-065-065,immortal_beloved,Immortal Beloved,movie,,,,1,1,1,discgear,Container B,65,65,,disc,Immortal Beloved,unmatched,,,,,,Single-title entry,,
B-066-066,the_forgotten,The Forgotten,movie,,,,1,1,1,discgear,Container B,66,66,,disc,"Forgotton, The",unmatched,,,,,,Single-title entry,,
B-067-067,excalibur,Excalibur,movie,,,,1,1,1,discgear,Container B,67,67,,disc,Excaliur,unmatched,,,,,,Single-title entry,,
B-068-068,hellboy_ii_the_golden_army,Hellboy II: The Golden Army,movie,Hellboy,2,,1,1,1,discgear,Container B,68,68,,disc,Helloy 2,unmatched,,,,,,Normalized likely title,,
B-069-069,godzilla,Godzilla,movie,,,,1,1,1,discgear,Container B,69,69,,disc,Godzilla,unmatched,,,,,,Version/year later if needed,,
B-070-070,heat,Heat,movie,,,,1,1,1,discgear,Container B,70,70,,disc,Heat,unmatched,,,,,,Single-title entry,,
B-071-071,fantastic_four_rise_of_the_silver_surfer,Fantastic Four: Rise of the Silver Surfer,movie,Fantastic Four,2,,1,1,1,discgear,Container B,71,71,,disc,Fantastic 4 Two,unmatched,,,,,,Normalized from shorthand,,
B-072-072,jumper,Jumper,movie,,,,1,1,1,discgear,Container B,72,72,,disc,Jumper,unmatched,,,,,,Single-title entry,,
B-073-073,interview_with_the_vampire,Interview with the Vampire,movie,,,,1,1,1,discgear,Container B,73,73,,disc,Interview w/ the Vampire,unmatched,,,,,,Single-title entry,,
B-074-074,it_1990,It,tv,,,,1,1,1,discgear,Container B,74,74,,disc,IT,unmatched,,,,,high,1990 Tim Curry miniseries release,,
B-075-075,the_island,The Island,movie,,,,1,1,1,discgear,Container B,75,75,,disc,"Island, The",unmatched,,,,,,Single-title entry,,
B-076-076,hitman,Hitman,movie,,,,1,1,1,discgear,Container B,76,76,,disc,Hitman,unmatched,,,,,,Single-title entry,,
B-077-077,hitch,Hitch,movie,,,,1,1,1,discgear,Container B,77,77,,disc,Hitch,unmatched,,,,,,Single-title entry,,
B-078-078,cloverfield,Cloverfield,movie,,,,1,1,1,discgear,Container B,78,78,,disc,Cloverfield,unmatched,,,,,,Single-title entry,,
B-079-079,closer,Closer,movie,,,,1,1,1,discgear,Container B,79,79,,disc,Closer,unmatched,,,,,,Single-title entry,,
B-080-080,close_encounters_of_the_third_kind,Close Encounters of the Third Kind,movie,,,,1,1,1,discgear,Container B,80,80,,disc,"Close Encounters, 3rd",unmatched,,,,,,Single-title entry,,
B-081-081,fred_claus,Fred Claus,movie,,,,1,1,1,discgear,Container B,81,81,,disc,Fred Claus,unmatched,,,,,,Single-title entry,,
B-082-082,deck_the_halls,Deck the Halls,movie,,,,1,1,1,discgear,Container B,82,82,,disc,Deck the Halls,unmatched,,,,,,Single-title entry,,
B-083-083,casino_royale,Casino Royale,movie,James Bond,,,1,1,1,discgear,Container B,83,83,,disc,Casino Royale,unmatched,,,,,,Single-title entry,,
B-084-084,robin_hood_prince_of_thieves,Robin Hood: Prince of Thieves,movie,Robin Hood,,,1,1,1,discgear,Container B,84,84,,disc,Robin Hood: Prince of Thieves,matched,,,,,high,Kevin Costner version,,
B-085-085,alien_vs_predator_requiem,Aliens vs. Predator: Requiem,movie,Alien vs. Predator,,,1,1,1,discgear,Container B,85,85,,disc,Alien vs Predator 2,unmatched,,,,,,Separate franchise film,,
B-086-086,disturbia,Disturbia,movie,,,,1,1,1,discgear,Container B,86,86,,disc,Disturia,unmatched,,,,,,Single-title entry,,
B-087-087,copycat,Copycat,movie,,,,1,1,1,discgear,Container B,87,87,,disc,Copycat,unmatched,,,,,,Single-title entry,,
B-088-088,elizabeth,Elizabeth,movie,,,,1,1,1,discgear,Container B,88,88,,disc,Elizaeth,unmatched,,,,,,Single-title entry,,
B-089-089,gremlins,Gremlins,movie,,,,1,1,1,discgear,Container B,89,89,,disc,Gremlins,unmatched,,,,,,Single-title entry,,
B-090-090,tomb_raider_2,Tomb Raider 2,movie,Tomb Raider,2,,1,1,1,discgear,Container B,90,90,,disc,Tom Raider 2,unmatched,,,,,,Likely Cradle of Life,,
B-091-091,short_circuit_2,Short Circuit 2,movie,Short Circuit,2,,1,1,1,discgear,Container B,91,91,,disc,Short Circuit 2,unmatched,,,,,,Single-title sequel,,
B-092-092,crash_2004,Crash,movie,,,,1,1,1,discgear,Container B,92,92,,disc,Crash,unmatched,,,,,high,2004 ensemble film,,
B-093-093,iron_man,Iron Man,movie,Marvel,,,1,1,1,discgear,Container B,93,93,,disc,Iron Man,unmatched,,,,,,Single-title entry,,
B-094-094,sin_city,Sin City,movie,,,,1,1,1,discgear,Container B,94,94,,disc,Sin City,unmatched,,,,,,Single-title entry,,
B-095-095,invictus,Invictus,movie,,,,1,1,1,discgear,Container B,95,95,,disc,Invictus,unmatched,,,,,,Single-title entry,,
B-096-097,pearl_harbor,Pearl Harbor,movie,,,,1,2,2,discgear,Container B,96,97,,disc,"Pearl Harbor, Disc 1 / Pearl Harbor, Disc 2",unmatched,,,,,,Two-disc grouped entry,,
B-098-098,lassie,Lassie,movie,,,,1,1,1,discgear,Container B,98,98,,disc,Lassie,unmatched,,,,,,Single-title entry,,
B-099-099,the_joneses,The Joneses,movie,,,,1,1,1,discgear,Container B,99,99,,disc,"Jonses, The",unmatched,,,,,,Single-title entry,,
B-100-100,the_animatrix,The Animatrix,movie,The Matrix,,,1,1,1,discgear,Container B,100,100,,disc,Animatrix,unmatched,,,,,,Single-title entry,,
E-001-001,memoirs_of_a_geisha,Memoirs of a Geisha,movie,,,,1,1,1,discgear,Container E,1,1,,disc,Memoirs of a Geisha,unmatched,,,,,,Single-title entry,,
E-002-002,300,300,movie,,,,1,1,1,discgear,Container E,2,2,,disc,300,unmatched,,,,,high,Gerard Butler film,,
E-003-003,underworld_awakening,Underworld: Awakening,movie,Underworld,,,1,1,1,discgear,Container E,3,3,,disc,Underworld: Awakening,unmatched,,,,,,Single-title franchise entry,,
E-004-004,underworld_rise_of_the_lycans,Underworld: Rise of the Lycans,movie,Underworld,,,1,1,1,discgear,Container E,4,4,,disc,Underworld: Lycans,unmatched,,,,,,Single-title franchise entry,,
E-005-005,the_darkest_hour,The Darkest Hour,movie,,,,1,1,1,discgear,Container E,5,5,,disc,Darkest Hour,unmatched,,,,,high,2011 film,,
E-006-006,jumanji_the_next_level,Jumanji: The Next Level,movie,Jumanji,,,1,1,1,discgear,Container E,6,6,,disc,Jumanji: The Next Level,unmatched,,,,,,Single-title entry,,
E-007-007,my_big_fat_greek_wedding_2,My Big Fat Greek Wedding 2,movie,My Big Fat Greek Wedding,2,,1,1,1,discgear,Container E,7,7,,disc,My Big Fat Greek Wedding 2,unmatched,,,,,,Normalized from OCR,,
E-008-008,oblivion,Oblivion,movie,,,,1,1,1,discgear,Container E,8,8,,disc,Oblivion,unmatched,,,,,high,Tom Cruise film,,
E-009-009,the_amateurs,The Amateurs,movie,,,,1,1,1,discgear,Container E,9,9,,disc,"Amateurs, The",unmatched,,,,,,Single-title entry,,
E-010-010,the_polar_express,The Polar Express,movie,,,,1,1,1,discgear,Container E,10,10,,disc,Polar Express,unmatched,,,,,,Single-title entry,,
E-011-011,daredevil,Daredevil,movie,Marvel,,,1,1,1,discgear,Container E,11,11,,disc,Daredevil (movie),unmatched,,,,,high,Ben Affleck version,,
E-012-012,x_men_the_last_stand,X-Men: The Last Stand,movie,X-Men,,,1,1,1,discgear,Container E,12,12,,disc,X Men Last Stand,unmatched,,,,,,Single-title franchise entry,,
E-013-014,final_fantasy_vii_advent_children,Final Fantasy VII: Advent Children,movie,Final Fantasy VII,,,1,2,2,discgear,Container E,13,14,,disc,FF7 Advent Children D1 / D2,unmatched,,,,,,One film across two discs,,
E-015-015,superman_returns,Superman Returns,movie,Superman,,,1,1,1,discgear,Container E,15,15,,disc,Superman Returns,unmatched,,,,,,Single-title entry,,
E-016-016,pirates_of_the_caribbean_dead_mans_chest,Pirates of the Caribbean: Dead Man's Chest,movie,Pirates of the Caribbean,2,,1,1,1,discgear,Container E,16,16,,disc,Pirates: Dead Mans Chest,unmatched,,,,,,Single-title franchise entry,,
E-017-017,the_count_of_monte_cristo,The Count of Monte Cristo,movie,,,,1,1,1,discgear,Container E,17,17,,disc,Count of Monte Cristo,unmatched,,,,,,Single-title entry,,
E-018-018,king_kong_2005,King Kong,movie,,,,1,1,1,discgear,Container E,18,18,,disc,King Kong,unmatched,,,,,high,2005 Peter Jackson version,,
E-019-019,speed,Speed,movie,,,,1,1,1,discgear,Container E,19,19,,disc,Speed,unmatched,,,,,,Keanu Reeves film,,
E-020-020,lady_in_the_water,Lady in the Water,movie,,,,1,1,1,discgear,Container E,20,20,,disc,Lady In the Water,unmatched,,,,,,Single-title entry,,
E-021-021A,conan_the_barbarian,Conan the Barbarian,movie,Conan,,,1,1,1,discgear,Container E,21,21,,disc,Conan: Complete Quest,unmatched,,,,,,Shared slot with Conan the Destroyer,,
E-021-021B,conan_the_destroyer,Conan the Destroyer,movie,Conan,,,1,1,1,discgear,Container E,21,21,,disc,Conan: Complete Quest,unmatched,,,,,,Shared slot with Conan the Barbarian,,
E-022-022,clash_of_the_titans_1981,Clash of the Titans,movie,,,,1,1,1,discgear,Container E,22,22,,disc,Clash of the Titans (OLD),unmatched,,,,,high,1981 original,,
E-023-023,the_little_mermaid,The Little Mermaid,movie,Disney,,,1,1,1,discgear,Container E,23,23,,disc,Little Mermaid,unmatched,,,,,high,Animated Disney version,,
E-024-024,aladdin,Aladdin,movie,Disney,,,1,1,1,discgear,Container E,24,24,,disc,Aladdin,unmatched,,,,,high,Animated Disney version,,
E-025-025,the_passion_of_the_christ,The Passion of the Christ,movie,,,,1,1,1,discgear,Container E,25,25,,disc,Passion of the Christ,unmatched,,,,,,Single-title entry,,
E-026-026,short_circuit,Short Circuit,movie,,,,1,1,1,discgear,Container E,26,26,,disc,Short Circuit,unmatched,,,,,,Original film,,
E-027-027,miracle,Miracle,movie,,,,1,1,1,discgear,Container E,27,27,,disc,Miracle,unmatched,,,,,high,Hockey film,,
E-028-028,toy_soldiers,Toy Soldiers,movie,,,,1,1,1,discgear,Container E,28,28,,disc,Toy Soldiers,unmatched,,,,,,Single-title entry,,
E-029-029,the_prestige,The Prestige,movie,,,,1,1,1,discgear,Container E,29,29,,disc,"Prestige, The",unmatched,,,,,,Single-title entry,,
E-030-030,the_illusionist,The Illusionist,movie,,,,1,1,1,discgear,Container E,30,30,,disc,"Illusionist, The",unmatched,,,,,,Single-title entry,,
E-031-031,the_fifth_element,The Fifth Element,movie,,,,1,1,1,discgear,Container E,31,31,,disc,Fifth Element,unmatched,,,,,,Single-title entry,,
E-032-032,alien_vs_predator,Alien vs. Predator,movie,Alien vs. Predator,,,1,1,1,discgear,Container E,32,32,,disc,Alien Vs Predator,unmatched,,,,,high,2004 film,,
E-033-033,the_emperors_new_groove,The Emperor's New Groove,movie,Disney,,,1,1,1,discgear,Container E,33,33,,disc,Emperors New Groove,unmatched,,,,,,Animated Disney film,,
E-034-034,the_man_in_the_iron_mask,The Man in the Iron Mask,movie,,,,1,1,1,discgear,Container E,34,34,,disc,Man In the Iron Mask,unmatched,,,,,,Single-title entry,,
E-035-035,the_nativity_story,The Nativity Story,movie,,,,1,1,1,discgear,Container E,35,35,,disc,Nativity Story,unmatched,,,,,,Single-title entry,,
E-036-036,rocky,Rocky,movie,Rocky,,,1,1,1,discgear,Container E,36,36,,disc,Rocky,unmatched,,,,,high,Original film,,
E-037-037,dragon_the_bruce_lee_story,Dragon: The Bruce Lee Story,movie,,,,1,1,1,discgear,Container E,37,37,,disc,Dragon: Bruce Lee Story,unmatched,,,,,,Canonical title normalized,,
E-038-038,happy_feet,Happy Feet,movie,,,,1,1,1,discgear,Container E,38,38,,disc,Happy Feet,unmatched,,,,,,Single-title entry,,
E-039-039,march_of_the_penguins,March of the Penguins,movie,,,,1,1,1,discgear,Container E,39,39,,disc,March of the Penguins,unmatched,,,,,,Single-title entry,,
E-040-040,teenage_mutant_ninja_turtles,Teenage Mutant Ninja Turtles,movie,Teenage Mutant Ninja Turtles,,,1,1,1,discgear,Container E,40,40,,disc,Tng Mutant Nnja Trtls,unmatched,,,,,,Original live-action film,,
E-041-041,teenage_mutant_ninja_turtles_ii_the_secret_of_the_ooze,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,movie,Teenage Mutant Ninja Turtles,2,,1,1,1,discgear,Container E,41,41,,disc,Tng Mutant Nnja Trtls 2,unmatched,,,,,,Original live-action sequel,,
E-042-042,the_legend_of_bagger_vance,The Legend of Bagger Vance,movie,,,,1,1,1,discgear,Container E,42,42,,disc,Legend of Bagger Vance,unmatched,,,,,,Canonical title normalized,,
E-043-043,the_last_of_the_mohicans,The Last of the Mohicans,movie,,,,1,1,1,discgear,Container E,43,43,,disc,Last of the Mohicans,unmatched,,,,,,Single-title entry,,
E-044-044,red_vs_blue,Red vs. Blue,tv,Red vs. Blue,,,1,1,1,discgear,Container E,44,44,,disc,Red vs. Blue,unmatched,,,,,high,Rooster Teeth machinima compilation disc,,
E-045-045,the_notebook,The Notebook,movie,,,,1,1,1,discgear,Container E,45,45,,disc,"Notebook, The",unmatched,,,,,,Single-title entry,,
E-046-046,wedding_crashers,Wedding Crashers,movie,,,,1,1,1,discgear,Container E,46,46,,disc,Wedding Crashers,unmatched,,,,,,Single-title entry,,
